Time,TotalEnergy
330.009,-0.00438788
331.009,-0.00438788
332.009,-0.00438788
333.009,-0.00438788
334.009,-0.00438788
335.009,-0.00438788
336.009,-0.00438788
337.009,-0.00438787
338.009,-0.00438787
339.009,-0.00438788
340.009,-0.00438788
341.009,-0.00438788
342.009,-0.00438788
343.009,-0.00438788
344.009,-0.00438787
345.009,-0.00438787
346.009,-0.00438787
347.01,-0.00438787
348.01,-0.00438787
349.01,-0.00438787
350.01,-0.00438787
351.01,-0.00438787
352.01,-0.00438787
353.01,-0.00438787
354.01,-0.00438787
355.01,-0.00438787
356.01,-0.00438787
357.01,-0.00438787
358.01,-0.00438787
359.01,-0.00438787
360.01,-0.00438787
361.01,-0.00438787
362.01,-0.00438787
363.01,-0.00438787
364.01,-0.00438787
365.01,-0.00438787
366.01,-0.00438787
367.01,-0.00438787
368.01,-0.00438787
369.01,-0.00438787
370.01,-0.00438787
371.01,-0.00438787
372.01,-0.00438787
373.01,-0.00438787
374.01,-0.00438787
375.01,-0.00438786
376.01,-0.00438786
377.01,-0.00438786
378.01,-0.00438786
379.01,-0.00438786
380.01,-0.00438786
381.01,-0.00438786
382.01,-0.00438786
383.01,-0.00438786
384.011,-0.00438786
385.011,-0.00438786
386.011,-0.00438786
387.011,-0.00438786
388.011,-0.00438786
389.011,-0.00438786
390.011,-0.00438787
391.011,-0.00438787
392.011,-0.00438787
393.011,-0.00438787
394.011,-0.00438787
395.011,-0.00438787
396.011,-0.00438787
397.011,-0.00438787
398.011,-0.00438787
399.011,-0.00438787
400.011,-0.00438787
401.011,-0.00438787
402.011,-0.00438787
403.011,-0.00438787
404.011,-0.00438787
405.011,-0.00438787
406.011,-0.00438787
407.011,-0.00438787
408.011,-0.00438787
409.011,-0.00438787
410.011,-0.00438787
411.011,-0.00438787
412.011,-0.00438787
413.011,-0.00438787
414.011,-0.00438787
415.011,-0.00438787
416.011,-0.00438787
417.011,-0.00438787
418.011,-0.00438787
419.011,-0.00438787
420.011,-0.00438787
421.012,-0.00438787
422.012,-0.00438788
423.012,-0.00438788
424.012,-0.00438788
425.012,-0.00438788
426.012,-0.00438788
427.012,-0.00438788
428.012,-0.00438788
429.012,-0.00438788
430.012,-0.00438788
431.012,-0.00438788
432.012,-0.00438788
433.012,-0.00438788
434.012,-0.00438788
435.012,-0.00438788
436.012,-0.00438788
437.012,-0.00438788
438.012,-0.00438788
439.012,-0.00438788
440.012,-0.00438788
441.012,-0.00438788
442.012,-0.00438788
443.012,-0.00438788
444.012,-0.00438787
445.012,-0.00438787
446.012,-0.00438788
447.012,-0.00438788
448.012,-0.00438788
449.012,-0.00438788
450.012,-0.00438788
451.012,-0.00438788
452.012,-0.00438788
453.012,-0.00438788
454.012,-0.00438788
455.012,-0.00438788
456.012,-0.00438788
457.013,-0.00438788
458.013,-0.00438788
459.013,-0.00438788
460.013,-0.00438788
461.013,-0.00438788
462.013,-0.00438789
463.013,-0.00438788
464.013,-0.00438788
465.013,-0.00438789
466.013,-0.00438789
467.013,-0.00438789
468.013,-0.00438789
469.013,-0.00438789
470.013,-0.00438789
471.013,-0.00438789
472.013,-0.00438789
473.013,-0.00438789
474.013,-0.00438789
475.013,-0.00438789
476.013,-0.00438788
477.013,-0.00438788
478.013,-0.00438789
479.013,-0.00438789
480.013,-0.00438789
481.013,-0.00438789
482.013,-0.00438789
483.013,-0.00438789
484.013,-0.00438789
485.013,-0.00438789
486.013,-0.00438789
487.013,-0.00438789
488.013,-0.00438789
489.013,-0.00438789
490.013,-0.00438789
491.013,-0.00438789
492.013,-0.00438789
493.013,-0.00438789
494.014,-0.00438789
495.014,-0.00438789
496.014,-0.00438789
497.014,-0.00438789
498.014,-0.00438789
499.014,-0.00438789
500.014,-0.00438789
501.014,-0.00438789
